t0,bp,pnl,entry,legs,dow,year
2022-09-01 00:00:00+00:00,-17.661485300178906,-3.01686666666645,1707.9484,9,3,2022
2022-09-01 22:00:00+00:00,6.813577705019904,1.1558000000003024,1696.3901333333333,9,3,2022
2022-09-05 22:00:00+00:00,46.264929521694164,7.920966666666952,1712.095933333333,9,0,2022
2022-09-06 22:00:00+00:00,-33.84305606865265,-5.761566666666416,1702.4321,9,1,2022
2022-09-07 22:00:00+00:00,-14.114877390519894,-2.4259666666665303,1718.7032,9,2,2022
2022-09-08 22:00:00+00:00,33.79306383659593,5.776233333333494,1709.2983333333332,9,3,2022
2022-09-12 22:00:00+00:00,-12.665635083175825,-2.185533333333145,1725.5384999999999,9,0,2022
2022-09-13 22:00:00+00:00,-15.239019629351255,-2.5939666666665744,1702.1532666666667,9,1,2022
2022-09-14 22:00:00+00:00,-13.809121452946329,-2.3440666666665493,1697.4609333333333,9,2,2022
2022-09-15 22:00:00+00:00,-5.010716562620576,-0.8341999999997066,1664.6820999999998,9,3,2022
2022-09-19 22:00:00+00:00,-5.142494354458155,-0.8618999999997262,1676.0332,9,0,2022
2022-09-20 22:00:00+00:00,-2.9075403973090923,-0.4840666666664977,1664.8383666666666,9,1,2022
2022-09-21 22:00:00+00:00,-69.87918736776858,-11.678666666666459,1671.2620333333332,9,2,2022
2022-09-22 22:00:00+00:00,11.058035383092507,1.84816666666696,1671.3378333333333,9,3,2022
2022-09-26 22:00:00+00:00,31.231113779045714,5.0754333333335735,1625.1318999999999,9,0,2022
2022-09-27 22:00:00+00:00,-29.64093828075717,-4.831133333333128,1629.8762,9,1,2022
2022-09-28 22:00:00+00:00,-21.59313895834494,-3.5831333333331563,1659.3347,9,2,2022
2022-09-29 22:00:00+00:00,-1.038997321494436,-0.17283333333314962,1662.9159666666665,9,3,2022
2022-10-03 22:00:00+00:00,-15.744485548228194,-2.6757999999998296,1699.4748666666667,9,0,2022
2022-10-04 22:00:00+00:00,-23.03960396735562,-3.9760333333331346,1725.7286666666666,9,1,2022
2022-10-05 22:00:00+00:00,25.116591631348072,4.309433333333345,1715.8039333333334,9,2,2022
2022-10-06 22:00:00+00:00,-7.4234902262430875,-1.270866666666355,1711.9515333333334,9,3,2022
2022-10-10 22:00:00+00:00,13.928288654995827,2.32410000000012,1668.6382333333333,9,0,2022
2022-10-11 22:00:00+00:00,-15.154390163869348,-2.5258999999997136,1666.7733333333333,9,1,2022
2022-10-12 22:00:00+00:00,-6.420503506022259,-1.0748333333331932,1674.0310333333334,9,2,2022
2022-10-13 22:00:00+00:00,-17.7271223995935,-2.953066666666473,1665.8366666666666,9,3,2022
2022-10-17 22:00:00+00:00,2.3239317523542797,0.3837333333336422,1651.3306666666665,9,0,2022
2022-10-18 22:00:00+00:00,-6.422371775927903,-1.0615249999999985,1652.7793250000002,9,1,2022
2022-10-19 22:00:00+00:00,-22.22292936558313,-3.6219333333332693,1629.8002999999999,9,2,2022
2022-10-20 22:00:00+00:00,-11.279200064382277,-1.836766666666487,1628.3832333333332,9,3,2022
2022-10-24 22:00:00+00:00,-0.10513003460741703,-0.017366666666551584,1651.0304333333333,9,0,2022
2022-10-25 22:00:00+00:00,-8.71347049119804,-1.4402666666665027,1652.9134999999999,9,1,2022
2022-10-26 22:00:00+00:00,13.844290005121346,2.3052000000000894,1665.1014000000002,9,2,2022
2022-10-27 22:00:00+00:00,7.674971449422311,1.2757666666667926,1662.2831666666668,9,3,2022
2022-10-31 22:00:00+00:00,12.529205248414732,2.046500000000227,1633.4055999999998,9,0,2022
2022-11-01 22:00:00+00:00,16.947693961417393,2.7911333333334674,1646.9242666666667,9,1,2022
2022-11-02 22:00:00+00:00,14.345364937078683,2.3464666666670078,1635.9779666666664,9,2,2022
2022-11-03 22:00:00+00:00,6.278911677517739,1.0235666666668901,1630.1701666666665,9,3,2022
2022-11-07 23:00:00+00:00,-11.437899514657362,-1.9157999999999145,1674.9565333333333,9,0,2022
2022-11-08 23:00:00+00:00,-26.137988104350157,-4.475733333333285,1712.2669333333333,9,1,2022
2022-11-09 23:00:00+00:00,7.276867782447984,1.241133333333437,1706.0203333333332,9,2,2022
2022-11-10 23:00:00+00:00,-24.856174341342548,-4.359666666666423,1753.9134,9,3,2022
2022-11-14 23:00:00+00:00,-2.5828610008291735,-0.4573999999998553,1770.7804666666666,9,0,2022
