date,side,entry_ts,entry,init_sl,risk,exit_ts,exit,exit_reason,r,bars_held,pen_atr,space_atr,trade_no,equity,year
2022-09-01,long,2022-09-01 17:55:00+05:30,1702.2755,1699.9095000000002,2.365999999999758,2022-09-01 18:05:00+05:30,1699.7565000000002,initial_stop,-1.0646661031276567,2,0.043587803727038806,1.5381811728572579,1,9893.533389687234,2022
2022-09-01,long,2022-09-01 18:30:00+05:30,1701.3017,1694.988,6.313699999999926,2022-09-01 19:05:00+05:30,1694.8217,initial_stop,-1.026339547333591,7,2.3114642503911504,0.5379652345100675,2,9791.992143880221,2022
2022-09-02,short,2022-09-02 16:40:00+05:30,1704.9073,1706.6770000000001,1.7697000000000571,2022-09-02 17:20:00+05:30,1706.837,initial_stop,-1.0904108040910037,8,1.3629684402277351,0.7088965881812548,1,9685.219203607609,2022
2022-09-02,short,2022-09-02 17:35:00+05:30,1705.1202999999998,1706.942,1.8217000000001917,2022-09-02 18:00:00+05:30,1707.1192,initial_stop,-1.0972717791074633,5,1.4584429896532138,0.35531781981778643,2,9578.946026541726,2022
2022-09-06,long,2022-09-06 16:40:00+05:30,1713.8693,1711.218,2.651299999999992,2022-09-06 18:00:00+05:30,1711.0616,initial_stop,-1.0589899294685914,16,0.38762643676669734,0.8188818231259012,1,9477.505952771417,2022
2022-09-07,short,2022-09-07 16:20:00+05:30,1702.6962,1705.361,2.664800000000014,2022-09-07 19:05:00+05:30,1700.0829000000003,trail,0.9806739717801487,33,0.42005149042177187,1.025433649629747,1,9570.44938682416,2022
2022-09-08,short,2022-09-08 16:15:00+05:30,1722.035,1723.808,1.7729999999999109,2022-09-08 16:20:00+05:30,1723.9596000000001,initial_stop,-1.0855047941343212,1,0.5978338063954749,0.7436069811059233,1,9466.561699909986,2022
2022-09-08,short,2022-09-08 16:55:00+05:30,1722.4339000000002,1724.482,2.0480999999997493,2022-09-08 17:00:00+05:30,1724.6307,initial_stop,-1.0726038767638204,1,0.7238506726832001,0.37901194020325785,2,9365.022992120512,2022
2022-09-09,short,2022-09-09 17:05:00+05:30,1725.3172,1728.528,3.210800000000063,2022-09-09 18:10:00+05:30,1722.3275000000003,trail,0.9311386570323816,13,2.406881870512119,0.4078919276130961,1,9452.224341440116,2022
2022-09-12,short,2022-09-12 17:20:00+05:30,1728.147,1729.6325,1.4855000000000018,2022-09-12 17:25:00+05:30,1729.7928,initial_stop,-1.1079097946819296,1,0.47288851650224584,0.6536237858487486,1,9347.502222145991,2022
