date,side,entry_ts,entry,init_sl,risk,exit_ts,exit,exit_reason,r,bars_held,pen_atr,space_atr,trade_no,equity,year
2023-02-03,long,2023-02-03 14:45:00+05:30,1913.665,1910.167410185815,3.4975898141849484,2023-02-03 15:50:00+05:30,1909.986310185815,initial_stop,-1.0517785130965156,13,1.4242678168114367,0.4273105010420718,1,10702.284124180564,2023
2023-02-03,long,2023-02-03 17:05:00+05:30,1913.4352,1910.648593242162,2.7866067578379443,2023-02-03 18:25:00+05:30,1915.2071,trail,0.6358629523223285,16,2.6127501404773312,0.3785876097318861,2,10770.335983978503,2023
2023-02-06,long,2023-02-06 15:05:00+05:30,1875.3828,1871.1924040620727,4.190395937927406,2023-02-06 16:40:00+05:30,1871.0188040620726,initial_stop,-1.0414280661234943,19,2.1212749191446325,0.37522551635813,1,10658.170682225553,2023
2023-02-07,long,2023-02-07 17:55:00+05:30,1872.2721000000001,1868.7285201593938,3.5435798406062986,2023-02-07 18:40:00+05:30,1868.529820159394,initial_stop,-1.0560732391924659,9,3.047835972747314,0.508568524484621,1,10545.612593863112,2023
2023-02-07,long,2023-02-07 21:05:00+05:30,1871.8938,1868.0130096362348,3.8807903637653,2023-02-07 22:15:00+05:30,1875.6043,trail,0.9561196694994454,14,2.9137635888527433,0.27055416634149365,2,10646.441270142248,2023
2023-02-08,short,2023-02-08 16:25:00+05:30,1879.5525,1882.5678327784278,3.015332778427819,2023-02-08 17:05:00+05:30,1882.757632778428,initial_stop,-1.0629449596269986,8,4.017462403367841,0.5154108587850497,1,10533.275459281622,2023
2023-02-08,short,2023-02-08 18:25:00+05:30,1878.516,1881.3174428012956,2.8014428012954795,2023-02-08 19:15:00+05:30,1876.9551000000001,trail,0.557177180015289,10,0.5361253708727309,1.3471382197386572,2,10591.96446644889,2023
2023-02-09,short,2023-02-09 14:55:00+05:30,1880.7469999999998,1883.90621375722,3.1592137572201864,2023-02-09 16:00:00+05:30,1884.06401375722,initial_stop,-1.0499491367557228,13,1.439883722654,1.6648760015829933,1,10480.754226967936,2023
2023-02-09,short,2023-02-09 16:50:00+05:30,1880.641,1883.6303077585492,2.989307758549103,2023-02-09 17:55:00+05:30,1883.7951077585492,initial_stop,-1.0551298204504715,13,1.9643246320216157,1.840224700395894,2,10370.168663711074,2023
2023-02-10,short,2023-02-10 14:50:00+05:30,1861.7283,1866.259992533588,4.531692533588057,2023-02-10 19:15:00+05:30,1866.421992533588,initial_stop,-1.035748232873109,53,2.8980576490473053,0.8563588531337287,1,10262.759825030726,2023
2023-02-10,short,2023-02-10 20:10:00+05:30,1861.9850000000001,1865.8683490665683,3.883349066568144,2023-02-10 20:15:00+05:30,1866.0303490665683,initial_stop,-1.0417165691837227,1,2.6253246271664668,0.8696471757307079,2,10155.85095547785,2023
2023-02-14,long,2023-02-14 20:30:00+05:30,1856.5066000000002,1847.223353597903,9.28324640209712,2023-02-14 22:00:00+05:30,1847.042253597903,initial_stop,-1.019508261674397,18,2.4437085929767632,0.41184864230671536,1,10052.311215943415,2023
2023-02-16,short,2023-02-16 14:50:00+05:30,1839.1935,1841.9892680325897,2.795768032589649,2023-02-16 15:35:00+05:30,1836.6265,trail,0.9181734571956817,9,0.25257803478703394,0.3355084540049953,1,10144.608869362912,2023
