date,side,entry_ts,entry,init_sl,risk,exit_ts,exit,exit_reason,r,bars_held,pen_atr,space_atr,trade_no,equity,year
2026-08-26,long,2026-08-26 18:05:00+05:30,4623.474,4612.345,11.128999999999905,2026-08-26 18:20:00+05:30,4612.066,initial_stop,-1.025069637883049,3,0.04934358903043831,2.049210226792648,1,9897.493036211696,2026
2026-08-26,long,2026-08-26 18:25:00+05:30,4616.684,4611.030000000001,5.653999999999542,2026-08-26 18:30:00+05:30,4610.754000000001,initial_stop,-1.0488149982313162,1,0.24117954291307434,0.5852828398081915,2,9793.686644799007,2026
2026-08-27,long,2026-08-27 16:45:00+05:30,4592.733,4586.094999999999,6.6380000000008295,2026-08-27 17:35:00+05:30,4594.262000000001,trail,0.23034046399521846,10,0.17793782748151832,0.44189857818176803,1,9816.245468058874,2026
2026-08-28,long,2026-08-28 20:00:00+05:30,4552.651,4529.9,22.751000000000204,2026-08-28 20:15:00+05:30,4552.315,breakeven,-0.014768581600819177,3,0.2781339417809021,1.1752458731558073,1,9814.795747836788,2026
2026-08-31,short,2026-08-31 18:00:00+05:30,4447.317,4461.05,13.733000000000175,2026-08-31 19:45:00+05:30,4429.573,trail,1.2920701958785015,21,0.1444276557463445,1.3093368499019373,1,9941.609798480938,2026
2026-09-02,long,2026-09-02 15:00:00+05:30,4309.275000000001,4304.885,4.390000000000327,2026-09-02 15:30:00+05:30,4304.655,initial_stop,-1.0523917995445229,6,0.10207220401395128,0.7244153508154895,1,9836.98511221901,2026
2026-09-02,long,2026-09-02 15:45:00+05:30,4307.01,4301.63,5.380000000000109,2026-09-02 18:05:00+05:30,4329.253,trail,4.1343866171001915,28,0.847358621764244,0.31242134860759013,2,10243.684108224732,2026
2026-09-03,short,2026-09-03 17:50:00+05:30,4441.156,4450.23,9.073999999999614,2026-09-03 18:00:00+05:30,4450.4855,initial_stop,-1.0281573727132711,2,1.3972278025922267,0.4940890303468551,1,10138.362914828562,2026
2026-09-07,short,2026-09-07 15:00:00+05:30,4405.522000000001,4413.555,8.032999999999447,2026-09-07 16:50:00+05:30,4394.9,trail,1.322295530935135,22,0.29172612907794115,0.6381509073585766,1,10272.422034561325,2026
