date,side,status,block_reason,range_low,range_high,range_size,fib_level,first_sweep_ts,last_sweep_ts,sweep_bars,sweep_extreme,penetration,pen_atr,reclaim_ts,reclaim_close,entry_ts,entry,sl,risk,atr,space,space_atr,risk_atr,spread
2026-08-26,long,VALID,,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 18:00:00+05:30,2026-08-26 18:00:00+05:30,1,4612.345,0.25500000000010914,0.04934358903043831,2026-08-26 18:00:00+05:30,4623.370000000001,2026-08-26 18:05:00+05:30,4623.1900000000005,4612.345,10.845000000000255,5.167844597660066,10.590000000000146,2.049210226792648,2.0985538158230863,0.5680000000000291
2026-08-26,long,VALID,,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 18:20:00+05:30,2026-08-26 18:20:00+05:30,1,4611.030000000001,1.569999999999709,0.24117954291307434,2026-08-26 18:20:00+05:30,4616.3,2026-08-26 18:25:00+05:30,4616.41,4611.030000000001,5.3799999999992,6.509673171432979,3.8099999999994907,0.5852828398081915,0.8264623827212659,0.5479999999999563
2026-08-26,long,VALID,,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 18:30:00+05:30,2026-08-26 19:00:00+05:30,7,4598.18,14.420000000000073,1.8664931224537322,2026-08-26 19:00:00+05:30,4615.99,2026-08-26 19:05:00+05:30,4615.88,4598.18,17.699999999999818,7.725718260908044,3.2799999999997453,0.4245559945664171,2.2910491170201492,0.6260000000000219
2026-08-26,long,BLOCKED,space 0.17 ATR < 0.25,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 19:05:00+05:30,2026-08-26 19:05:00+05:30,1,4612.530000000001,0.06999999999970896,0.009326286445277516,2026-08-26 19:05:00+05:30,4613.465,2026-08-26 19:10:00+05:30,4613.885,4598.18,15.704999999999927,7.505666956557436,1.2849999999998545,0.17120397260328685,2.0924189803384525,0.5499999999998181
2026-08-26,long,VALID,,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 19:10:00+05:30,2026-08-26 19:10:00+05:30,1,4611.92,0.680000000000291,0.08750509070902593,2026-08-26 19:10:00+05:30,4619.6900000000005,2026-08-26 19:15:00+05:30,4619.75,4604.26,15.489999999999782,7.77097645966043,7.149999999999636,0.920090292013582,1.9933144927679594,0.5380000000001018
2026-08-26,long,BLOCKED,space 0.02 ATR < 0.25,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 20:15:00+05:30,2026-08-26 20:15:00+05:30,1,4611.875,0.7250000000003638,0.10010168269656987,2026-08-26 20:15:00+05:30,4612.825000000001,2026-08-26 20:20:00+05:30,4612.47,4611.875,0.5950000000002547,7.242635492931699,0.13000000000010914,0.017949267242149625,0.08215241545442024,0.6079999999999928
2026-08-27,long,BLOCKED,space 0.04 ATR < 0.25,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 15:05:00+05:30,2026-08-27 16:35:00+05:30,19,4569.1849999999995,21.390000000001237,4.914393473238229,2026-08-27 16:35:00+05:30,4590.77,2026-08-27 16:40:00+05:30,4590.765,4585.725,5.039999999999964,4.352520838325707,0.18999999999959982,0.04365286395106324,1.1579496542832661,0.5700000000000728
2026-08-27,long,VALID,,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 16:40:00+05:30,2026-08-27 16:40:00+05:30,1,4589.82,0.7550000000010186,0.17793782748151832,2026-08-27 16:40:00+05:30,4592.6,2026-08-27 16:45:00+05:30,4592.45,4586.094999999999,6.355000000000473,4.243055064159629,1.8749999999990905,0.44189857818176803,1.4977415809849104,0.5659999999999854
2026-08-27,long,VALID,,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 18:05:00+05:30,2026-08-27 20:10:00+05:30,26,4564.645,25.93000000000029,3.526701663813084,2026-08-27 20:10:00+05:30,4595.405000000001,2026-08-27 20:15:00+05:30,4595.475,4574.110000000001,21.36499999999978,7.352479021989251,4.899999999999636,0.6664418878782351,2.9058226396978375,0.5400000000001455
2026-08-27,long,BLOCKED,space 0.09 ATR < 0.25,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 20:25:00+05:30,2026-08-27 20:25:00+05:30,1,4588.205,2.3700000000008004,0.34779722785768113,2026-08-27 20:25:00+05:30,4591.325000000001,2026-08-27 20:30:00+05:30,4591.175,4585.82,5.355000000000473,6.814315383130673,0.5999999999994543,0.0880499311031006,0.785845635095957,0.5419999999998254
