date,side,status,block_reason,range_low,range_high,range_size,fib_level,first_sweep_ts,last_sweep_ts,sweep_bars,sweep_extreme,penetration,pen_atr,reclaim_ts,reclaim_close,entry_ts,entry,sl,risk,atr,space,space_atr,risk_atr,spread
2026-08-26,long,VALID,,4626.88,4641.16,14.279999999999745,4612.6,2026-08-26 18:30:00+05:30,2026-08-26 18:55:00+05:30,6,4598.18,14.420000000000073,1.8664931224537322,2026-08-26 19:00:00+05:30,4615.99,2026-08-26 19:05:00+05:30,4615.88,4600.428563478184,15.451436521816504,7.725718260908044,3.2799999999997453,0.4245559945664171,2.0000000000000537,0.6260000000000219
2026-08-27,long,BLOCKED,space 0.04 ATR < 0.25,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 15:05:00+05:30,2026-08-27 16:30:00+05:30,18,4569.1849999999995,21.390000000001237,4.914393473238229,2026-08-27 16:35:00+05:30,4590.77,2026-08-27 16:40:00+05:30,4590.765,4582.059958323349,8.70504167665149,4.352520838325707,0.18999999999959982,0.04365286395106324,2.0000000000000178,0.5700000000000728
2026-08-27,long,VALID,,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 18:05:00+05:30,2026-08-27 20:05:00+05:30,25,4564.645,25.93000000000029,3.526701663813084,2026-08-27 20:10:00+05:30,4595.405000000001,2026-08-27 20:15:00+05:30,4595.475,4580.7700419560215,14.704958043978877,7.352479021989251,4.899999999999636,0.6664418878782351,2.000000000000051,0.5400000000001455
2026-08-27,long,VALID,,4600.485000000001,4610.395,9.909999999999854,4590.575000000001,2026-08-27 20:50:00+05:30,2026-08-27 20:50:00+05:30,1,4589.370000000001,1.2049999999999272,0.189678509356653,2026-08-27 20:55:00+05:30,4593.13,2026-08-27 21:00:00+05:30,4593.025,4580.319290701808,12.705709298191323,6.352854649095552,2.4499999999989086,0.3856534007664904,2.000000000000034,0.45799999999981084
2026-08-31,short,BLOCKED,space 0.15 ATR < 0.25,4432.245000000001,4443.025,10.779999999998836,4453.8049999999985,2026-08-31 16:25:00+05:30,2026-08-31 17:10:00+05:30,10,4464.125,10.320000000001528,2.5506781078016436,2026-08-31 17:15:00+05:30,4453.24,2026-08-31 17:20:00+05:30,4453.215,4461.306965794066,8.0919657940658,4.045982897032837,0.5899999999983265,0.14582365151148047,2.000000000000031,0.5599999999998545
2026-08-31,short,BLOCKED,space 0.22 ATR < 0.25,4432.245000000001,4443.025,10.779999999998836,4453.8049999999985,2026-08-31 17:25:00+05:30,2026-08-31 17:45:00+05:30,5,4461.05,7.24500000000171,1.5898830900819871,2026-08-31 17:50:00+05:30,4452.775,2026-08-31 17:55:00+05:30,4452.82,4461.933877674651,9.113877674651121,4.556938837325516,0.9849999999987631,0.2161538776712797,2.0000000000000195,0.55
2026-08-31,long,VALID,,4432.245000000001,4443.025,10.779999999998836,4421.465000000002,2026-08-31 19:25:00+05:30,2026-08-31 19:30:00+05:30,2,4415.755,5.710000000001855,0.8618647263241345,2026-08-31 19:35:00+05:30,4427.25,2026-08-31 19:40:00+05:30,4427.1,4413.849660763227,13.25033923677347,6.625169618386737,5.634999999998399,0.8505442614419509,1.9999999999999996,0.5219999999999345
2026-08-31,long,VALID,,4432.245000000001,4443.025,10.779999999998836,4421.465000000002,2026-08-31 19:50:00+05:30,2026-08-31 19:55:00+05:30,2,4416.505,4.960000000001855,0.7094568677565951,2026-08-31 20:00:00+05:30,4425.075000000001,2026-08-31 20:05:00+05:30,4425.3,4411.317472730411,13.9825272695889,6.9912636347944455,3.8349999999982174,0.548541751581504,2.0000000000000013,0.5399999999999636
2026-09-02,long,VALID,,4316.155000000001,4326.91,10.7549999999992,4305.4000000000015,2026-09-02 15:30:00+05:30,2026-09-02 15:35:00+05:30,2,4301.63,3.770000000001346,0.847358621764244,2026-09-02 15:40:00+05:30,4306.915,2026-09-02 15:45:00+05:30,4306.79,4297.891760451432,8.898239548568199,4.449119774284013,1.3899999999985084,0.31242134860759013,2.0000000000000386,0.43999999999996364
2026-09-02,short,BLOCKED,space 0.21 ATR < 0.25,4316.155000000001,4326.91,10.7549999999992,4337.664999999999,2026-09-02 17:50:00+05:30,2026-09-02 17:50:00+05:30,1,4344.46,6.795000000000982,1.0814908005424166,2026-09-02 17:55:00+05:30,4336.4,2026-09-02 18:00:00+05:30,4336.32,4348.885987610052,12.565987610052616,6.282993805026342,1.3449999999993452,0.21406992299170446,1.9999999999999893,0.5779999999998836
2026-09-02,short,VALID,,4316.155000000001,4326.91,10.7549999999992,4337.664999999999,2026-09-02 18:15:00+05:30,2026-09-02 18:15:00+05:30,1,4339.245,1.5800000000008367,0.2511503174254203,2026-09-02 18:20:00+05:30,4334.495000000001,2026-09-02 18:25:00+05:30,4334.6,4347.182106335343,12.58210633534236,6.291053167671275,3.0649999999986903,0.4871998246254283,1.9999999999999698,0.5800000000002911
2026-09-03,short,VALID,,4419.13,4431.435,12.305000000000291,4443.740000000001,2026-09-03 17:25:00+05:30,2026-09-03 17:40:00+05:30,4,4450.23,6.489999999998872,1.3972278025922267,2026-09-03 17:45:00+05:30,4441.39,2026-09-03 17:50:00+05:30,4441.445,4450.734823732333,9.289823732333389,4.644911866166854,2.2950000000009823,0.4940890303468551,1.9999999999999312,0.5780000000000655
2026-09-07,short,BLOCKED,space 0.05 ATR < 0.25,4387.695,4398.055,10.360000000000582,4408.415000000001,2026-09-07 14:25:00+05:30,2026-09-07 14:40:00+05:30,4,4413.945,5.529999999998836,1.280413242604257,2026-09-07 14:45:00+05:30,4408.22,2026-09-07 14:50:00+05:30,4408.18,4416.817836310957,8.637836310957027,4.318918155478666,0.23500000000058208,0.05441177432419693,1.9999999999999292,0.5140000000001237
2026-09-07,short,VALID,,4387.695,4398.055,10.360000000000582,4408.415000000001,2026-09-07 14:50:00+05:30,2026-09-07 14:50:00+05:30,1,4409.215,0.7999999999992724,0.19448009713283695,2026-09-07 14:55:00+05:30,4405.7,2026-09-07 15:00:00+05:30,4405.790000000001,4414.017062941592,8.227062941590702,4.113531470795407,2.625,0.6381378187177016,1.9999999999999727,0.5360000000002401
2026-09-07,short,VALID,,4387.695,4398.055,10.360000000000582,4408.415000000001,2026-09-07 15:05:00+05:30,2026-09-07 15:20:00+05:30,4,4410.424999999999,2.0099999999983993,0.5478286056326154,2026-09-07 15:25:00+05:30,4405.835000000001,2026-09-07 15:30:00+05:30,4405.805,4413.14306150074,7.338061500739968,3.669030750370025,2.610000000000582,0.7113595326878526,1.9999999999999778,0.56200000000008
